,title,abstract,affiliations,authors,journal,date,keywords,url
10,Intensity modulated proton therapy (IMPT) - The future of IMRT for head and neck cancer,"Radiation therapy plays an integral role in the management of head and neck cancers (HNCs). While most HNC patients have historically been treated with photon-based radiation techniques such as intensity modulated radiation therapy (IMRT), there is a growing awareness of the potential clinical benefits of proton therapy over IMRT in the definitive, postoperative and reirradiation settings given the unique physical properties of protons. Intensity modulated proton therapy (IMPT), also known as ""pencil beam proton therapy,"" is a sophisticated mode of proton therapy that is analogous to IMRT and an active area of investigation in cancer care. Multifield optimization IMPT allows for high quality plans that can target superficially located HNCs as well as large neck volumes while significantly reducing integral doses. Several dosimetric studies have demonstrated the superiority of IMPT over IMRT to improve dose sparing of nearby organs such as the larynx, salivary glands, and esophagus. Evidence of the clinical translation of these dosimetric advantages has been demonstrated with documented toxicity reductions (such as decreased feeding tube dependency) after IMPT for patients with HNCs. While there are relative challenges to IMPT planning that exist today such as particle range uncertainties and high sensitivity to anatomical changes, ongoing investigations in image-guidance techniques and robust optimization methods are promising. A systematic approach towards utilizing IMPT and additional prospective studies are necessary in order to more accurately estimate the clinical benefit of IMPT over IMRT and passive proton therapy on a case-by-case basis for patients with sub-site specific HNCs.","['1 Department of Radiation Oncology, University of Texas MD Anderson Cancer Center, Houston, TX, USA.', '2 Department of Radiation Oncology, Gustave Roussy, Villejuif, France. Electronic address: Pierre.Blanchard@gustaveroussy.fr.']","Amy C Moreno, Steven J Frank, Adam S Garden, David I Rosenthal, Clifton D Fuller, Gary B Gunn, Jay P Reddy, William H Morrison, Tyler D Williamson, Emma B Holliday, Jack Phan, Pierre Blanchard, ",Oral oncology,2019 Jan,Head and neck; IMPT; IMRT; Proton therapy; Radiotherapy.,https://pubmed.ncbi.nlm.nih.gov/30616799
11,Emergence of quantum correlations from interacting fibre-cavity polaritons,"Over the past decade, exciton-polaritons in semiconductor microcavities have revealed themselves as one of the richest realizations of a light-based quantum fluid1, subject to fascinating new physics and potential applications2-6. For instance, in the regime of large two-body interactions, polaritons can be used to manipulate the quantum properties of a light field7-9. In this work, we report on the emergence of quantum correlations in laser light transmitted through a fibre-cavity polariton system. We observe a dispersive shape of the autocorrelation function around the polariton resonance that indicates the onset of this regime. The weak amplitude of these correlations indicates a state that still remains far from a low-photon-number state. Nonetheless, given the underlying physical mechanism7, our work opens up the prospect of eventually using polaritons to turn laser light into single photons.","['1 Department of Physics and Astronomy, Macquarie University, Sydney, New South Wales, Australia. guillermo.munozmatutano@mq.edu.au.', '2 ARC Centre of Excellence for Engineered Quantum Systems, Macquarie University, Sydney, New South Wales, Australia. guillermo.munozmatutano@mq.edu.au.', '3 Department of Physics and Astronomy, Macquarie University, Sydney, New South Wales, Australia.', '4 ARC Centre of Excellence for Engineered Quantum Systems, Macquarie University, Sydney, New South Wales, Australia.', '5 ARC Centre for Quantum Computation and Communication Technology, School of Science, RMIT University, Melbourne, Victoria, Australia.', '6 Centre de Nanosciences et de Nanotechnologies, CNRS (C2N), Universities Paris-Sud and Paris-Saclay, Palaiseau, France.', '7 Univ. Lille, CNRS, UMR 8523, PhLAM - Physique des Lasers Atomes et Molécules, Lille, France.', '8 Univ. Grenoble Alpes, CNRS, Grenoble INP, Institut Néel, Grenoble, France.', '9 Department of Physics and Astronomy, Macquarie University, Sydney, New South Wales, Australia. thomas.volz@mq.edu.au.', '10 ARC Centre of Excellence for Engineered Quantum Systems, Macquarie University, Sydney, New South Wales, Australia. thomas.volz@mq.edu.au.']","Guillermo Muñoz-Matutano, Andrew Wood, Mattias Johnsson, Xavier Vidal, Ben Q Baragiola, Andreas Reinhard, Aristide Lemaître, Jacqueline Bloch, Alberto Amo, Gilles Nogues, Benjamin Besga, Maxime Richard, Thomas Volz, ",Nature materials,2019 Mar,NO_KEYWORDS,https://pubmed.ncbi.nlm.nih.gov/30783231
12,"Reply to: ""Thermal artefacts in two-photon solar cell experiments""",NO_ABSTRACT,"['1 Department of Electrical and Electronic Engineering, Graduate School of Engineering, Kobe University, 1-1 Rokkodai, Nada, Kobe, 657-8501, Japan. asahis@people.kobe-u.ac.jp.', '2 Department of Electrical and Electronic Engineering, Graduate School of Engineering, Kobe University, 1-1 Rokkodai, Nada, Kobe, 657-8501, Japan.']","Shigeo Asahi, Takashi Kita, ",Nature communications,2019,NO_KEYWORDS,https://pubmed.ncbi.nlm.nih.gov/30814503
13,Experimental study of the evanescent-wave photonic sensors response in presence of molecular beacon conformational changes,"An experimental study of the influence of the conformational change suffered by molecular beacon (MB) probes-upon the biorecognition of nucleic acid target oligonucleotides over evanescent wave photonic sensors-is reported. To this end, high sensitivity photonic sensors based on silicon photonic bandgap (PBG) structures were used, where the MB probes were immobilized via their 5' termination. Those MBs incorporate a biotin moiety close to their 3' termination in order to selectively bind a streptavidin molecule to them. The different photonic sensing responses obtained toward the target oligonucleotide detection, when the streptavidin molecule was bound to the MB probes or not, demonstrate the conformational change suffered by the MB upon hybridization, which promotes the displacement of the streptavidin molecule away from the surface of the photonic sensing structure.","['1 Nanophotonics Technology Center, Universitat Politècnica de València, Valencia, Spain.', '2 Departamento de Química, IDM, Instituto Interuniversitario de Investigación de Reconocimiento Molecular y Desarrollo Tecnológico, Universitat Politècnica de València, Valencia, Spain.', '3 School of Biological Sciences, University of East Anglia, Norwich, UK.', '4 microTEC Gesellschaft für Mikrotechnologie mbH, Duisburg, Germany.']","Ángela Ruiz-Tórtola, Francisco Prats-Quílez, Daniel González-Lucas, María-José Bañuls, Ángel Maquieira, Guy Wheeler, Tamas Dalmay, Amadeu Griol, Juan Hurtado, Helge Bohlmann, Reiner Götzen, Jaime García-Rupérez, ",Journal of biophotonics,2018 Oct,conformational change; molecular beacon; photonic bandgap; photonic biosensor; silicon photonics.,https://pubmed.ncbi.nlm.nih.gov/29664230
14,Which photon energy for intensity-modulated radiotherapy and volumetric-modulated arctherapy in 2019?,"For more than a decade, the majority of radiation oncology centres have been delivering intensity-modulated radiotherapy (then volumetric-modulated arctherapy) with 6 MV photons as their standard of care. This « dogma » had been supported by the usual absence of dosimetric advantages with high-energy photons (15 to 18 MV or more), at least for the planning target volume and the dose received by the adjacent organs at risk, and by the neutron component as soon as the photon energy exceeds 10 MV. Recent data could question such a dogma. First, in 2019, one cannot avoid taking into account the integral dose, delivered outside the treated volume. Actually, most available data show that integral dose is higher with low energy photons (as 6 MV) than with higher energies. Moreover, recent studies have shown that the neutron component at high energies may have been overestimated in the past; in fact, the neutron dose appears to be lower, and sometimes much lower, than the dose we accept for imaging. Finally, a few cohort studies did not show any increase in second cancers incidence after high-energy photon radiotherapy. In such a context, the American Association of Physicists in Medicine (AAPM) TG 158 document, released a few months ago, clearly states that there is a trade-off between high- and low-energy treatments. High-energy therapy is associated with neutron production, while low-energy therapy results in higher stray photon dose. According to the AAPM, « the optimal energy is likely an intermediate such as 10 MV ».","['1 GIE Charlebourg, Amethyst group, 65, avenue Foch, 92250 La Garenne-Colombes, France. Electronic address: jean-marc.cosset@curie.fr.', '2 GIE Charlebourg, Amethyst group, 65, avenue Foch, 92250 La Garenne-Colombes, France.', '3 CNS CROM Compiègne, Amethyst group, 3, rue Jean-Jacques-Bernard, 60200 Compiègne, France.', '4 Campus Sciences, centre de recherche en automatique de Nancy (Cran), BP 70239, 54506 Vandœuvre-lès-Nancy cedex, France; Campus Sciences, université de Lorraine, UMR 7039, BP 70239, 54506 Vandœuvre-lès-Nancy cedex, France; CNRS, UMR7039, Campus Sciences, BP 70239, 54506 Vandœuvre-lès-Nancy cedex, France.']","J-M Cosset, M Nassef, R Saïdi, J Pugnaire, A Ben Abdennebi, A Noël, ",Cancer radiotherapie : journal de la Societe francaise de radiotherapie oncologique,2019 Feb,Arcthérapie volumétrique modulée; Dose intégrale; Energy; IMRT; Integral dose; Modulation d’intensité; Photon; Photons; VMAT; Énergie.,https://pubmed.ncbi.nlm.nih.gov/30551930
15,High-resolution imaging of diabetic retinopathy lesions using an adaptive optics retinal camera,"Purpose. Adaptive optics (AO) imaging is a promising high-resolution investigation technique in ophthalmology that can bring new information about the pathophysiology of diabetic retinopathy. Material and methods. Seven patients previously diagnosed with diabetic retinopathy were investigated with optical coherence tomography (OCT) scanning, OCT angiography, fundus photo, and AO retinal camera (rtx1TM, Imagine Eyes, Orsay, France). Results. The red lesions on fundus photos appeared on AO imaging as hyporeflective lesions. OCT angiography helped us to differentiate between microaneurysms and hemorrhages. Hard exudates had a heterogeneous granular appearance. Retinal oedema was proved to have a blurring effect on the AO images. In addition to this, cystic spaces were identified to have a hyporeflective demarcation line. Conclusions. AO imaging is offering a fine documentation of retinal lesions and might become an important instrument for early diagnosis of diabetic retinopathy and for explaining its pathophysiological mechanisms. Abbreviations: AO = adaptive optics, AOO = adaptive optics ophthalmoscopy, SS = swept source, OCT =optical coherence tomography, SLO = scanning laser ophthalmoscope.","['1 Retina Clinic, Bucharest, Romania.', '2 Department of Physiology, Faculty of Medicine, ""Carol Davila"" University of Medicine and Pharmacy, Bucharest, Romania.', '3 Clinical Ophthalmology Emergency Hospital, Bucharest, Romania.', '4 Department of Ophthalmology, Faculty of Medicine, ""Victor Babes"" University of Medicine and Pharmacy, Timisoara, Romania.']","Irina-Elena Cristescu, Radu Ochinciuc, Florian Balta, Leon Zagrean, ",Romanian journal of ophthalmology,Jan-Mar 2019,adaptive optics retinal camera; diabetic retinopathy; hard exudates; hemorrhages; microaneurysms.,https://pubmed.ncbi.nlm.nih.gov/31198895
16,"PARbars: Cheap, Easy to Build Ceptometers for Continuous Measurement of Light Interception in Plant Canopies","Ceptometry is a technique used to measure the transmittance of photosynthetically active radiation through a plant canopy using multiple light sensors connected in parallel on a long bar. Ceptometry is often used to infer properties of canopy structure and light interception, notably leaf area index (LAI) and effective plant area index (PAIeff). Due to the high cost of commercially available ceptometers, the number of measurements that can be taken is often limited in space and time. This limits the usefulness of ceptometry for studying genetic variability in light interception, and precludes thorough analysis of, and correction for, biases that can skew measurements depending on the time of day. We developed continuously logging ceptometers (called PARbars) that can be produced for USD $75 each and yield high quality data comparable to commercially available alternatives. Here we provide detailed instruction on how to build and calibrate PARbars, how to deploy them in the field and how to estimate PAI from collected transmittance data. We provide representative results from wheat canopies and discuss further considerations that should be made when using PARbars.","['1 School of Life and Environmental Sciences, Sydney Institute of Agriculture, University of Sydney; william.salter@sydney.edu.au.', '2 School of Life and Environmental Sciences, Sydney Institute of Agriculture, University of Sydney.', '3 Department of Plant Sciences, University of California, Davis.']","William T Salter, Andrew M Merchant, Matthew E Gilbert, Thomas N Buckley, ",Journal of visualized experiments : JoVE,2019,NO_KEYWORDS,https://pubmed.ncbi.nlm.nih.gov/31132041
17,MODELING DNA DAMAGE BY PHOTONS AND LIGHT IONS OVER ENERGY RANGES USED IN MEDICAL APPLICATIONS,"Comprehensive track structure-based simulations of DNA damage induced in human cells by photons (5 keV-1.3 MeV) and light ions (0.25-512 MeV/u) were performed with PARTRAC. DNA strand breaks, double-strand breaks and their clustering were scored. Effective LET values were established for photons that provide LET-dependent damage yields in agreement with the data for ions. The resulting database captures the variations of biological effectiveness with radiation quality. In particular, it can help compare the effectiveness of conventional radiotherapy using photon beams with techniques relying on proton or ion beams.","['1 Institute of Radiation Protection, Department of Radiation Sciences, Helmholtz Zentrum München-German Research Center for Environmental Health, Ingolstädter Landstr. 1, Neuherberg, Germany.']","W Friedland, P Kundrát, E Schmitt, J Becker, W Li, ",Radiation protection dosimetry,2019,NO_KEYWORDS,https://pubmed.ncbi.nlm.nih.gov/30535036
18,The Power of Light: Nobel Prize in Physics 2018,"The 2018 Nobel Prize in Physics was awarded to three scientists in the field of laser science: Dr. Arthur Ashkin for his invention of the optical tweezers and their application to biological systems, and Dr. Gérard Mourou and Dr. Donna Strickland for their method of generating high-intensity, ultrashort optical pulses. The awards integrate the far reaches of time and intensity scales in laser technologies, from the extremely high-intensity chirped pulse lasers (by Mourou and Strickland) to the ultralow-power beams (by Ashkin) that are capable of handling delicate biological objects and molecules [1], [2]. The IEEE family is indeed delighted to see two of its Life Fellows, Arthur Ashkin and Gérard Mourou, as co-recipients of the awards from the Royal Swedish Academy of Science. Mourou is a past recipient of the IEEE Photonics Quantum Electronics Award and the IEEE David Sarnoff Award. Strickland has been an active author in the IEEE Journal of Quantum Electronics and IEEE Journal of Selected Topics in Quantum Electronics.",NO_AFFILIATIONS,"Katarzyna Tych, Vera Katharina Hechtl, Subhamoy Mandal, ",IEEE pulse,Mar-Apr 2019,NO_KEYWORDS,https://pubmed.ncbi.nlm.nih.gov/31021752
19,Widefield High Frame Rate Single-Photon SPAD Imagers for SPIM-FCS,"Photon-counting sensors based on standard complementary metal-oxide-semiconductor single-photon avalanche diodes (SPADs) represent an emerging class of imagers that enable the counting and/or timing of single photons at zero readout noise (better than high-speed electron-multiplying charge-coupling devices) and over large arrays. They have seen substantial progress over the last 15 years, increasing their spatial resolution, timing accuracy, and sensitivity while reducing spurious signals such as afterpulsing and dark counts. They are increasingly being applied for time-resolved applications with the added advantage of enabling real-time options such as autocorrelation. We report in this study on the use of such a state-of-the-art 512 × 128 SPAD array, capable of a time resolution of 10-5-10-6 s for full frames while retaining acceptable photosensitivity thanks to the use of dedicated microlenses, in a selective plane illumination-fluorescence correlation spectroscopy setup. The latter allows us to perform thousands of fluorescence-correlation spectroscopy measurements simultaneously in a two-dimensional slice of the sample. This high-speed SPAD imager enables the measurement of molecular motion of small fluorescent particles such as single chemical dye molecules. Inhomogeneities in the molecular detection efficiency were compensated for by means of a global fit of the auto- and cross-correlation curves, which also made a calibration-free measurement of various samples possible. The afterpulsing effect could also be mitigated, making the measurement of the diffusion of Alexa-488 possible, and the overall result quality was further improved by spatial binning. The particle concentrations in the focus tend to be overestimated by a factor of 1.7 compared to a confocal setup; a calibration is thus required if absolute concentrations need to be measured. The first high-speed selective plane illumination-fluorescence correlation spectroscopy in vivo measurements to our knowledge were also recorded: although two-component fit models could not be employed because of noise, the diffusion of eGFP oligomers in HeLa cells could be measured. Sensitivity and noise will be further improved in the next generation of SPAD-based widefield sensors, which are currently under testing.","['1 German Cancer Research Center, Heidelberg, Germany.', '2 École polytechnique fédérale de Lausanne, Lausanne, Switzerland. Electronic address: claudio.bruschini@epfl.ch.', '3 École polytechnique fédérale de Lausanne, Lausanne, Switzerland.']","Jan Buchholz, Jan Krieger, Claudio Bruschini, Samuel Burri, Andrei Ardelean, Edoardo Charbon, Jörg Langowski, ",Biophysical journal,2018,NO_KEYWORDS,https://pubmed.ncbi.nlm.nih.gov/29753448
20,Quantities for assessing high photon doses to the body: a calculational approach,"Tissue reactions are the most clinically significant consequences of high-dose exposures to ionising radiation. However, currently there is no universally recognized dose quantity that can be used to assess and report generalised risks to individuals following whole body exposures in the high-dose range. In this work, a number of potential dose quantities are presented and discussed, with mathematical modelling techniques employed to compare them and explore when their differences are most or least manifest. The results are interpreted to propose the average (D GRB) of the absorbed doses to the stomach, small intestine, red bone marrow, and brain as the optimum quantity for informing assessments of risk. A second, maximally conservative dose quantity (D Max) is also suggested, which places limits on any under-estimates resulting from the adoption of D GRB. The primary aim of this work is to spark debate, with further work required to refine the final choice of quantity or quantities most appropriate for the full range of different potential exposure scenarios.","['1 Public Health England CRCE, Chilton, Didcot, OXON, United Kingdom.']","Jonathan S Eakins, Elizabeth A Ainsbury, ",Journal of radiological protection : official journal of the Society for Radiological Protection,2018 Jun,NO_KEYWORDS,https://pubmed.ncbi.nlm.nih.gov/29692366
